Frequency_GHz,S11_dB
2.589999999999999858e+00,-1.097895436905053979e+00
2.600000000000000089e+00,-1.099388662658121074e+00
2.609999999999999876e+00,-1.100884953853972448e+00
2.620000000000000107e+00,-1.102375987042309324e+00
2.629999999999999893e+00,-1.103853924810780152e+00
2.640000000000000124e+00,-1.105311702873535307e+00
2.649999999999999911e+00,-1.106743287641293261e+00
2.660000000000000142e+00,-1.108143894881193692e+00
2.669999999999999929e+00,-1.109510161637976111e+00
2.680000000000000160e+00,-1.110840265430001139e+00
2.689999999999999947e+00,-1.112133986766667748e+00
2.700000000000000178e+00,-1.113392713167094206e+00
2.709999999999999964e+00,-1.114619385004851804e+00
2.720000000000000195e+00,-1.115818385578554395e+00
2.729999999999999982e+00,-1.116995379742292238e+00
2.740000000000000213e+00,-1.118157107164861275e+00
2.750000000000000000e+00,-1.119311137776743736e+00
2.759999999999999787e+00,-1.120465598175437894e+00
2.770000000000000018e+00,-1.121628878670390295e+00
2.779999999999999805e+00,-1.122809331243530329e+00
2.790000000000000036e+00,-1.124014968973114703e+00
2.799999999999999822e+00,-1.125253177414210715e+00
2.810000000000000053e+00,-1.126530448050379940e+00
2.819999999999999840e+00,-1.127852143234233662e+00
2.830000000000000071e+00,-1.129222301030636366e+00
2.839999999999999858e+00,-1.130643487083342391e+00
2.850000000000000089e+00,-1.132116699070870647e+00
2.859999999999999876e+00,-1.133641327536667021e+00
2.870000000000000107e+00,-1.135215174921373027e+00
2.879999999999999893e+00,-1.136834532551199928e+00
2.890000000000000124e+00,-1.138494313217888854e+00
2.899999999999999911e+00,-1.140188234903055875e+00
2.910000000000000142e+00,-1.141909049238601703e+00
2.919999999999999929e+00,-1.143648806541993412e+00
2.930000000000000160e+00,-1.145399147802127260e+00
2.939999999999999947e+00,-1.147151612890045191e+00
2.950000000000000178e+00,-1.148897953583726261e+00
2.959999999999999964e+00,-1.150630439764277257e+00
2.970000000000000195e+00,-1.152342147374035175e+00
2.979999999999999982e+00,-1.154027217415090290e+00
2.990000000000000213e+00,-1.155681076375524530e+00
3.000000000000000000e+00,-1.157300609946519065e+00
3.009999999999999787e+00,-1.158884283666340442e+00
3.020000000000000018e+00,-1.160432206116785769e+00
3.029999999999999805e+00,-1.161946132417804201e+00
3.040000000000000036e+00,-1.163429407930720139e+00
3.049999999999999822e+00,-1.164886854209007172e+00
3.060000000000000053e+00,-1.166324601253949877e+00
3.069999999999999840e+00,-1.167749871978815079e+00
3.080000000000000071e+00,-1.169170726406743466e+00
3.089999999999999858e+00,-1.170595774484659568e+00
3.100000000000000089e+00,-1.172033867456626410e+00
3.109999999999999876e+00,-1.173493778483315042e+00
3.120000000000000107e+00,-1.174983883604255652e+00
3.129999999999999893e+00,-1.176511854206429675e+00
3.140000000000000124e+00,-1.178084371882451187e+00
3.149999999999999911e+00,-1.179706875934841470e+00
3.160000000000000142e+00,-1.181383352816713028e+00
3.169999999999999929e+00,-1.183116175509071999e+00
3.180000000000000160e+00,-1.184905999244783015e+00
3.189999999999999947e+00,-1.186751718135893974e+00
3.200000000000000178e+00,-1.188650485192766393e+00
3.209999999999999964e+00,-1.190597796002794251e+00
3.220000000000000195e+00,-1.192587634038274835e+00
3.229999999999999982e+00,-1.194612673272221981e+00
3.240000000000000213e+00,-1.196664531590456493e+00
3.250000000000000000e+00,-1.198734066491788708e+00
3.259999999999999787e+00,-1.200811702857814467e+00
3.270000000000000018e+00,-1.202887781230199460e+00
3.279999999999999805e+00,-1.204952914123989416e+00
3.290000000000000036e+00,-1.206998337475754690e+00
3.299999999999999822e+00,-1.209016244398914974e+00
3.310000000000000053e+00,-1.211000088992448376e+00
3.319999999999999840e+00,-1.212944848996178271e+00
3.330000000000000071e+00,-1.214847237556202497e+00
3.339999999999999858e+00,-1.216705856189025825e+00
3.350000000000000089e+00,-1.218521283130779231e+00
3.359999999999999876e+00,-1.220296093539153803e+00
3.370000000000000107e+00,-1.222034810388289650e+00
3.379999999999999893e+00,-1.223743787273295913e+00
3.390000000000000124e+00,-1.225431026639318910e+00
3.399999999999999911e+00,-1.227105939100272769e+00
3.410000000000000142e+00,-1.228779051453442683e+00
3.419999999999999929e+00,-1.230461672681166574e+00
3.430000000000000160e+00,-1.232165528620381645e+00
3.439999999999999947e+00,-1.233902377047040533e+00
3.450000000000000178e+00,-1.235683615641865130e+00
3.459999999999999964e+00,-1.237519895660551317e+00
3.470000000000000195e+00,-1.239420754112950274e+00
3.479999999999999982e+00,-1.241394276854023815e+00
3.490000000000000213e+00,-1.243446804202310796e+00
3.500000000000000000e+00,-1.245582689533959009e+00
3.509999999999999787e+00,-1.247804119766321440e+00
3.520000000000000018e+00,-1.250111004770877221e+00
3.529999999999999805e+00,-1.252500940581684263e+00
3.540000000000000036e+00,-1.254969248849200358e+00
3.549999999999999822e+00,-1.257509092403643391e+00
3.560000000000000053e+00,-1.260111664125152409e+00
3.569999999999999840e+00,-1.262766443671377026e+00
3.580000000000000071e+00,-1.265461514095134188e+00
3.589999999999999858e+00,-1.268183928106714653e+00
3.600000000000000089e+00,-1.270920111802497754e+00
3.609999999999999876e+00,-1.273656292188146022e+00
3.620000000000000107e+00,-1.276378933844302566e+00
3.629999999999999893e+00,-1.279075169666148870e+00
3.640000000000000124e+00,-1.281733210776898169e+00
3.649999999999999911e+00,-1.284342721460319137e+00
3.660000000000000142e+00,-1.286895146242607924e+00
3.669999999999999929e+00,-1.289383978014951193e+00
3.680000000000000160e+00,-1.291804958242165347e+00
3.689999999999999947e+00,-1.294156202750427198e+00
3.700000000000000178e+00,-1.296438249223163863e+00
3.709999999999999964e+00,-1.298654025251102739e+00
3.720000000000000195e+00,-1.300808738479086291e+00
3.729999999999999982e+00,-1.302909692975900979e+00
3.740000000000000213e+00,-1.304966038344912205e+00
3.750000000000000000e+00,-1.306988460227059612e+00
3.759999999999999787e+00,-1.308988822672283003e+00
3.770000000000000018e+00,-1.310979774331342496e+00
3.779999999999999805e+00,-1.312974331519227489e+00
3.790000000000000036e+00,-1.314985451903880387e+00
3.799999999999999822e+00,-1.317025612866451034e+00
3.810000000000000053e+00,-1.319106408454555179e+00
3.819999999999999840e+00,-1.321238178305565114e+00
3.830000000000000071e+00,-1.323429680957259880e+00
3.839999999999999858e+00,-1.325687822599951105e+00
3.850000000000000089e+00,-1.328017450580075698e+00
3.859999999999999876e+00,-1.330421218874975775e+00
3.870000000000000107e+00,-1.332899530372407160e+00
3.879999999999999893e+00,-1.335450558171701996e+00
3.890000000000000124e+00,-1.338070345359576807e+00
3.899999999999999911e+00,-1.340752979898053976e+00
3.910000000000000142e+00,-1.343490838503721418e+00
3.919999999999999929e+00,-1.346274890810229774e+00
3.930000000000000160e+00,-1.349095052803011230e+00
3.939999999999999947e+00,-1.351940576603884114e+00
3.950000000000000178e+00,-1.354800462254115878e+00
3.959999999999999964e+00,-1.357663876269022962e+00
3.970000000000000195e+00,-1.360520561458740563e+00
3.979999999999999982e+00,-1.363361222843113563e+00
3.990000000000000213e+00,-1.366177875417558862e+00
4.000000000000000000e+00,-1.368964141006510538e+00
4.009999999999999787e+00,-1.371715483400959501e+00
4.019999999999999574e+00,-1.374429373327027193e+00
4.030000000000000249e+00,-1.377105377429316047e+00
4.040000000000000036e+00,-1.379745168266075739e+00
4.049999999999999822e+00,-1.382352455192767948e+00
4.059999999999999609e+00,-1.384932838850475800e+00
4.070000000000000284e+00,-1.387493594681146414e+00
